,adc,jg,mid,supp,top,win
390,236,141,103,25,420,True
391,29,20,91,44,150,False
392,29,35,245,16,23,False
393,222,141,55,412,17,True
394,18,76,61,98,266,True
395,21,28,7,412,157,True
396,222,11,238,25,84,False
397,22,59,61,117,92,True
398,115,79,99,16,141,False
399,67,113,103,267,80,False
400,119,102,38,44,92,True
401,119,64,115,497,92,False
402,21,76,101,412,114,True
403,110,11,1,63,516,True
404,498,254,115,25,45,False
405,67,19,45,53,421,False
406,429,32,90,201,157,True
407,67,141,69,53,23,False
408,222,31,126,26,91,True
409,96,33,163,89,67,False
410,29,254,55,63,92,True
411,67,141,35,497,82,False
412,18,59,103,40,164,True
413,236,28,63,26,62,False
414,119,64,45,27,23,False
415,202,60,115,143,83,False
416,236,133,105,99,122,True
417,18,131,37,89,23,False
418,67,64,99,267,111,True
419,21,79,134,111,17,True
420,119,131,245,44,86,True
421,119,35,61,40,78,False
422,22,141,4,201,23,True
423,236,141,69,40,58,False
424,202,64,268,498,50,True
425,18,19,157,53,14,False
426,15,98,105,25,23,True
427,202,99,98,40,81,False
428,22,77,63,26,31,True
429,222,5,45,43,516,True
430,67,113,1,89,122,False
431,202,5,99,412,57,False
432,18,141,43,37,516,True
433,22,102,30,412,75,False
434,119,24,4,37,516,False
435,21,79,112,432,56,True
436,81,64,161,16,10,True
437,67,120,245,201,164,True
438,22,11,112,16,58,False
439,498,32,26,516,41,True
440,29,56,236,99,92,False
441,22,19,62,53,134,True
442,51,24,157,48,84,False
443,222,203,238,99,33,True
444,498,29,103,117,122,False
445,18,57,45,117,23,True
446,96,98,69,412,36,False
447,498,12,105,267,2,True
448,22,113,238,161,240,False
449,67,5,17,63,86,False
450,67,516,157,432,86,True
451,21,60,238,57,86,True
452,202,59,99,98,516,False
453,67,19,115,37,114,False
454,51,113,157,12,57,True
455,67,141,84,37,58,False
456,29,57,103,44,164,True
457,18,121,90,53,17,True
458,29,76,1,63,157,False
459,81,54,245,16,80,True
460,51,64,161,40,58,False
461,67,141,1,143,157,True
462,110,64,69,432,92,False
463,222,79,41,53,76,True
464,236,141,45,16,6,False
465,222,98,55,90,24,True
466,51,31,131,37,57,False
467,119,102,61,432,59,True
468,22,107,38,25,75,False
469,18,64,101,89,92,True
470,22,421,238,25,17,False
471,21,19,127,12,122,False
472,67,76,115,16,6,True
473,222,23,34,267,17,True
474,202,19,103,40,50,True
475,67,33,161,412,86,False
476,498,57,8,497,24,True
477,51,79,134,40,67,False
478,18,19,238,117,516,True
479,15,24,55,267,154,False
480,498,35,85,432,68,False
481,22,121,91,12,17,True
482,22,11,80,89,75,True
483,29,113,45,40,98,False
484,222,254,1,40,6,True
485,236,79,4,25,240,False
486,81,59,92,432,54,True
487,202,154,238,12,150,False
488,498,107,55,37,86,False
489,67,32,112,40,17,False
490,96,56,8,117,84,True
491,429,19,105,63,48,True
492,22,266,90,99,92,False
493,18,5,115,12,92,False
494,222,79,101,16,50,True
495,222,57,8,117,92,False
496,18,64,38,412,39,True
497,498,79,238,37,150,False
498,81,113,245,45,10,True
499,29,33,115,43,85,False
500,67,59,61,412,223,True
501,67,113,161,99,91,True
502,202,31,157,40,126,True
503,22,32,238,267,122,False
504,236,64,4,497,41,True
505,67,111,30,412,126,False
506,202,64,63,267,3,False
507,21,36,61,85,58,True
508,96,76,236,44,24,True
509,81,141,8,516,85,False
510,119,31,38,43,86,True
511,202,120,84,412,50,False
512,222,23,105,16,75,True
513,21,141,99,89,420,False
514,81,79,7,37,41,False
515,96,154,4,12,8,True
516,236,154,103,161,150,True
517,202,113,238,63,92,False
518,18,64,1,412,516,True
519,22,59,38,25,17,False
520,202,64,105,53,2,False
521,67,35,115,40,114,True
522,110,19,141,61,157,True
523,15,57,4,43,27,False
524,96,19,50,267,3,True
525,51,79,41,412,75,True
526,222,11,103,516,58,False
527,498,141,99,37,23,True
528,96,35,163,26,150,False
529,29,33,84,111,164,True
530,22,120,45,12,10,False
531,236,77,238,412,57,True
532,18,72,69,37,59,True
533,29,141,91,57,27,False
534,119,19,69,432,111,False
535,498,113,3,497,157,True
536,202,113,38,37,240,False
537,15,79,126,12,14,True
538,222,64,103,267,59,True
539,81,79,136,89,62,False
540,67,11,163,412,24,False
541,22,2,115,25,17,False
542,429,427,245,117,6,True
543,15,79,34,40,150,True
544,119,36,103,412,516,False
