,champ0,champ1,champ2,champ3,champ4,win
377,17,150,120,89,30,True
378,45,10,81,64,223,False
379,92,111,121,112,18,True
380,92,89,22,154,99,True
381,115,31,51,37,516,False
382,497,238,131,18,102,True
383,236,133,31,412,122,False
384,18,92,267,19,245,False
385,69,141,24,96,40,True
386,427,238,25,202,80,True
387,84,122,51,19,14,False
388,22,16,34,11,75,False
389,58,106,21,516,99,True
390,37,41,84,79,18,True
391,61,23,59,16,222,False
392,10,141,427,90,18,True
393,432,161,5,110,59,False
394,45,18,412,36,150,True
395,59,61,5,429,40,False
396,37,202,32,24,99,False
397,412,240,67,5,45,True
398,79,236,115,40,157,False
399,98,11,143,222,7,True
400,90,26,24,19,96,True
401,92,50,67,20,53,False
402,59,18,57,40,84,True
403,48,111,121,29,55,False
404,75,37,21,11,268,False
405,6,22,117,64,131,True
406,12,516,18,154,1,False
407,6,201,222,103,19,True
408,119,75,89,107,63,True
409,41,99,110,516,13,False
410,24,77,498,201,238,False
411,121,245,119,12,86,True
412,96,59,38,25,516,False
413,133,69,79,40,29,True
414,79,412,119,131,164,True
415,516,91,121,67,40,False
416,157,126,120,25,222,True
417,106,45,58,67,38,False
418,154,105,81,86,143,True
419,110,412,266,69,5,False
420,13,28,58,222,412,True
421,236,110,24,16,113,False
422,126,119,117,3,254,False
423,35,103,143,92,18,True
424,48,1,24,61,81,True
425,21,64,268,54,53,False
426,201,141,498,420,134,False
427,80,157,222,412,19,True
428,154,48,15,267,238,False
429,44,84,498,92,77,True
430,11,164,8,117,222,True
431,26,69,99,236,31,False
432,18,19,16,23,38,False
433,106,34,2,432,119,True
434,25,420,236,141,103,True
435,91,20,150,29,44,False
436,245,29,23,16,35,False
437,141,17,412,222,55,True
438,18,91,19,99,126,True
439,58,245,120,81,516,False
440,61,98,76,266,18,True
441,202,412,141,23,238,False
442,21,7,28,157,412,True
443,25,238,84,222,11,False
444,22,117,92,61,59,True
445,141,99,79,16,115,False
446,267,67,113,103,80,False
447,44,102,38,92,119,True
448,119,497,92,64,115,False
449,101,21,114,76,412,True
450,157,17,421,110,412,True
451,238,497,15,141,61,False
452,254,164,37,61,29,True
453,110,53,157,62,101,False
454,240,157,81,11,59,False
455,119,99,55,24,5,True
456,121,157,4,40,222,True
457,202,136,432,120,150,False
458,64,92,90,22,412,True
459,61,420,154,21,267,False
460,74,154,21,99,516,False
461,86,222,412,19,43,True
462,121,133,61,43,119,False
463,18,245,105,36,34,True
464,223,17,119,63,4,True
465,8,498,412,24,106,False
466,53,107,75,29,3,False
467,30,83,89,59,236,True
468,18,58,89,57,103,True
469,64,105,37,67,102,False
470,238,19,236,150,117,False
471,75,201,254,202,8,True
472,75,119,40,90,33,False
473,57,245,236,24,201,True
474,1,63,516,11,110,True
475,254,25,498,115,45,False
476,67,53,45,421,19,False
477,90,157,201,429,32,True
478,141,69,67,23,53,False
479,126,31,222,26,91,True
480,59,122,61,18,412,True
481,67,33,163,89,96,False
482,63,29,55,254,92,True
483,82,35,497,67,141,False
484,164,40,59,18,103,True
485,63,26,236,28,62,False
486,24,67,34,516,53,True
487,45,23,119,27,64,False
488,202,115,60,143,83,False
489,236,133,99,122,105,True
490,23,131,37,18,89,False
491,111,99,67,267,64,True
492,2,67,102,236,1,False
493,134,17,111,21,79,True
494,202,63,223,11,31,False
495,131,86,44,245,119,True
496,119,40,61,35,78,False
497,23,22,4,201,141,True
498,141,58,69,236,40,False
499,268,498,64,202,50,True
500,18,157,19,14,53,False
501,23,25,15,98,105,True
502,202,81,99,40,98,False
503,77,26,63,31,22,True
504,516,5,43,222,45,True
505,89,1,67,122,113,False
506,5,99,57,202,412,False
507,43,516,37,18,141,True
508,90,25,202,141,120,True
509,412,22,75,102,30,False
510,119,37,24,516,4,False
511,79,112,432,56,21,True
512,121,67,267,126,61,False
513,161,64,16,10,81,True
514,201,164,120,67,245,True
515,16,22,112,11,58,False
516,516,41,26,498,32,True
517,29,56,236,99,92,False
518,19,53,134,62,22,True
519,48,51,84,157,24,False
520,222,33,99,203,238,True
521,117,103,29,122,498,False
522,18,23,117,57,45,True
523,96,98,69,36,412,False
524,267,12,498,105,2,True
525,240,238,22,161,113,False
526,5,86,17,63,67,False
527,29,12,24,101,27,True
528,516,157,86,67,432,True
529,82,89,59,254,26,False
530,57,21,86,238,60,True
531,99,59,98,202,516,False
532,67,37,19,114,115,False
533,57,113,12,157,51,True
534,141,37,84,58,67,False
535,29,164,44,103,57,True
536,121,18,90,17,53,True
537,63,1,157,76,29,False
538,16,81,54,80,245,True
539,161,58,51,40,64,False
540,1,157,141,143,67,True
541,110,432,64,92,69,False
542,41,222,53,79,76,True
543,6,141,16,236,45,False
544,24,90,222,55,98,True
545,31,131,57,37,51,False
546,61,102,432,119,59,True
547,75,22,107,25,38,False
548,18,101,64,92,89,True
549,25,17,238,421,22,False
550,12,127,122,21,19,False
551,16,6,76,67,115,True
552,17,34,222,267,23,True
553,141,15,40,157,90,False
554,103,50,202,19,40,True
555,67,412,86,33,161,False
556,497,57,498,24,8,True
557,40,67,79,134,51,False
558,516,117,19,18,238,True
559,15,24,267,55,154,False
560,68,498,432,35,85,False
561,12,121,91,17,22,True
562,11,80,22,75,89,True
563,40,29,98,45,113,False
564,6,254,222,40,1,True
565,4,25,236,79,240,False
566,54,81,92,59,432,True
567,12,154,150,238,202,False
568,37,498,55,86,107,False
569,11,245,240,429,111,True
570,32,112,67,40,17,False
571,117,96,84,8,56,True
572,63,429,48,19,105,True
573,90,266,92,99,22,False
574,115,12,5,92,18,False
575,79,50,222,101,16,True
576,8,222,117,92,57,False
577,38,18,412,64,39,True
578,498,37,79,238,150,False
579,245,10,113,81,45,True
580,43,29,33,115,85,False
581,61,59,223,67,412,True
582,161,91,67,113,99,True
583,222,79,117,101,78,False
584,157,40,126,202,31,True
585,238,32,122,22,267,False
586,41,236,64,497,4,True
587,126,67,30,111,412,False
588,202,63,3,267,64,False
589,36,21,58,61,85,True
590,44,96,236,76,24,True
591,85,81,141,516,8,False
592,43,86,31,119,38,True
593,202,50,120,84,412,False
594,105,75,23,222,16,True
595,420,21,141,99,89,False
596,79,41,81,37,7,False
597,4,12,8,154,96,True
598,150,103,236,161,154,True
599,113,238,92,202,63,False
600,18,412,1,64,516,True
601,38,17,25,59,22,False
602,105,2,53,202,64,False
603,40,35,114,115,67,True
604,63,84,238,111,126,False
605,19,110,61,157,141,True
606,57,15,43,4,27,False
607,96,267,3,19,50,True
608,412,41,79,51,75,True
609,11,103,222,516,58,False
610,23,498,99,141,37,True
611,163,35,150,96,26,False
612,111,164,29,84,33,True
613,89,86,55,28,119,False
614,120,22,45,10,12,False
615,27,245,29,117,266,True
616,64,99,96,7,23,False
617,77,412,236,238,57,True
618,72,37,69,59,18,True
619,27,91,57,29,141,False
620,119,69,19,111,432,False
621,498,497,3,113,157,True
622,202,37,113,38,240,False
623,14,15,126,12,79,True
624,222,103,59,64,267,True
625,89,136,81,62,79,False
626,103,3,45,21,106,False
627,102,24,18,223,63,True
628,23,51,90,516,12,True
629,412,11,163,67,24,False
630,115,17,2,22,25,False
631,6,117,427,245,429,True
632,34,40,150,15,79,True
633,119,36,103,516,412,False
634,90,39,120,236,1,True
635,14,29,103,43,126,False
636,16,141,420,22,1,True
637,245,32,202,99,122,False
638,120,157,412,29,126,False
639,119,240,53,69,76,True
640,53,67,31,38,35,True
641,54,86,18,30,25,False
642,40,516,102,61,21,False
643,79,27,4,222,117,True
644,21,43,64,103,420,False
645,238,113,62,16,222,True
646,21,19,99,163,131,True
647,45,121,412,29,14,False
648,14,238,432,11,51,False
649,18,112,33,16,86,True
650,3,238,497,131,102,True
651,254,516,18,82,31,False
652,106,114,131,223,429,False
653,154,51,55,37,75,True
654,24,55,4,79,22,True
655,236,141,43,31,99,False
656,201,81,64,420,236,False
657,18,40,245,79,58,True
658,141,222,126,238,44,False
